StudyHours,Attendance,Assignments,Participation,Result
High,Good,Complete,High,Pass
Medium,Good,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Good,Complete,Medium,Pass
Medium,Good,Partial,High,Pass
Low,Average,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Average,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,High,Pass
Low,Average,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Complete,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,High,Pass
Low,Average,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Average,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,High,Pass
Low,Average,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Complete,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,High,Pass
Low,Average,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Average,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,High,Pass
Low,Average,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Complete,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Complete,Medium,Pass
Low,Poor,Incomplete,Low,Fail
High,Average,Complete,High,Pass
Medium,Average,Partial,Medium,Pass
Low,Poor,Partial,Low,Fail
High,Good,Complete,High,Pass
Medium,Good,Partial,High,Pass
Low,Average,Incomplete,Low,Fail